Nome,Data,Popularidade,Gênero
Sandokan,2025-12-01,3.3398,"Action & Adventure, Drama, War & Politics"
Spartacus: House of Ashur,2025-12-05,3.096,"Drama, Action & Adventure"
Pluribus,2025-11-06,2.9718,"Drama, Sci-Fi & Fantasy"
Robin Hood,2025-11-02,2.8935,"Drama, Action & Adventure"
친애하는 X,2025-11-06,2.0079,"Crime, Drama"
조각도시,2025-11-05,1.8603,Crime
Até o Último Samurai,2025-11-13,1.7951,"Action & Adventure, Drama"
O Monstro em Mim,2025-11-13,1.7587,"Mistério, Drama"
All Her Fault,2025-11-06,1.4608,Drama
藤本タツキ 17-26,2025-11-08,1.3813,Animação
Como um Relâmpago,2025-11-06,1.3517,"Drama, Crime"
Crutch,2025-11-03,1.3294,Comédia
The Mighty Nein,2025-11-19,1.27,"Animação, Sci-Fi & Fantasy"
A Caçada,2025-12-03,1.1047,"Drama, Mistério"
I Love LA,2025-11-02,1.0808,Comédia
Strip Law,2026-02-20,1.0767,"Animação, Comédia, Drama"
Anatomía de un instante,2025-11-20,1.074,"Drama, War & Politics"
마지막 썸머,2025-11-01,0.9907,"Drama, Comédia"
The Twelve Dates 'Til Christmas,2025-12-05,0.9709,Comédia
Merteuil,2025-11-14,0.9307,Drama
O Cuco de Cristal,2025-11-14,0.8973,Drama
Você Estava Lá,2025-11-07,0.8889,"Crime, Drama, Mistério"
ひらやすみ,2025-11-03,0.845,Drama
프로보노,2025-11-29,0.8309,Comédia
TRINITY,2026-07-16,0.8148,Drama
Désenchantées,2026-01-01,0.8095,"Drama, Mistério, Crime"
키스는 괜히 해서!,2025-11-12,0.7972,
The Faithful,2026-03-22,0.7934,Drama
The American Revolution,2025-11-16,0.7783,Documentário
아이돌아이,2025-12-15,0.7722,"Comédia, Mistério"
Power: Origins,2026-11-30,0.7689,"Crime, Drama"
Las hijas de la criada,2025-11-30,0.6872,
Yakarta,2025-11-06,0.6822,Comédia
Arcadia,2025-11-10,0.678,Drama
Sra. Playmen,2025-11-12,0.6562,Drama
Les tres bessones,2027-01-01,0.6073,"Animação, Kids, Action & Adventure"
Las Aventuras de Alicia y Francisco,2026-12-24,0.6038,"Animação, Action & Adventure, Kids"
スキャンダルイブ,2025-11-19,0.6034,Mistério
人間標本,2025-12-19,0.5981,"Drama, Mistério"
MasterChef Celebridades,2025-11-18,0.5935,Reality
도굴왕,2026-07-15,0.5866,Animação
Le Rouge et le Noir,2026-12-31,0.5567,Drama
最強出涸らし皇子の暗躍帝位争い 無能を演じるSSランク皇子は皇位継承戦を影から支配する,2025-12-31,0.5459,"Animação, Comédia, Sci-Fi & Fantasy"
BeLIEf,2026-06-01,0.5348,"Sci-Fi & Fantasy, Crime, Action & Adventure"
シャドウワーク,2025-11-23,0.5263,Drama
Strikers,2026-06-01,0.5207,
Discretion,2026-12-11,0.5179,
The Danish Woman,2025-12-31,0.5165,"Comédia, Drama"
Action Movie Mayhem,2025-11-20,0.5001,"Documentário, Reality"
Beta Crystal,2026-01-05,0.4956,"Animação, Sci-Fi & Fantasy"
Rizzler News,2026-09-30,0.4944,"Drama, Crime, Comédia, Mistério"
Coal,2025-12-25,0.4925,"Animação, Kids"
