Nome,Data,Popularidade,Gênero,Categoria,Tipo,Temporada
Stranger Things,2025-11-26,78.8373,"Drama, Sci-Fi & Fantasy, Mistério",Série,Renovada,5
Sturm der Liebe,2025-12-01,35.361,"Drama, Soap",Série,Renovada,22
Frieren e a Jornada para o Além,2026-01-16,35.0337,"Animação, Action & Adventure, Drama, Sci-Fi & Fantasy",Série,Renovada,2
Avatar: Fogo e Cinzas,2025-12-17,30.1126,"Ficção científica, Aventura, Fantasia",Filme,,
Vila Sésamo,2025-11-10,29.7665,"Kids, Comédia",Série,Renovada,56
Fallout,2025-12-16,29.4858,"Action & Adventure, Drama",Série,Renovada,2
Maxton Hall - O mundo entre nós,2025-11-07,26.3706,Drama,Série,Renovada,2
Golden Globe Awards,2026-01-11,26.0471,Não informado,Série,Renovada,83
Wicked: Parte 2,2025-11-19,15.0922,"Fantasia, Romance, Drama",Filme,,
O Mandaloriano e Grogu,2026-05-20,13.8163,"Ação, Aventura, Ficção científica",Filme,,
Avengers: Doomsday,2026-12-17,13.2883,Ficção científica,Filme,,
Greenland 2: Migration,2026-01-08,11.5079,"Ação, Aventura, Thriller, Ficção científica",Filme,,
Truque de Mestre: O 3° Ato,2025-11-12,10.938,"Thriller, Crime, Mistério",Filme,,
Zootopia 2,2025-11-26,10.8798,"Família, Comédia, Crime, Aventura, Animação",Filme,,
Predador: Terras Selvagens,2025-11-05,10.6902,"Ação, Ficção científica",Filme,,
The Bride!,2026-03-04,10.133,"Terror, Romance, Drama, Ficção científica, Fantasia, Música",Filme,,
28 Years Later: The Bone Temple,2026-01-14,9.62,"Terror, Thriller, Ficção científica",Filme,,
Five Nights at Freddy's 2,2025-12-03,7.1323,"Terror, Thriller",Filme,,
Anaconda,2025-12-24,6.8414,"Aventura, Comédia, Terror",Filme,,
Vivo ou Morto: Um Mistério Knives Out,2025-11-26,6.807,"Comédia, Drama, Mistério",Filme,,
A Empregada,2025-12-19,6.7184,"Mistério, Thriller",Filme,,
Homem-Aranha: Um Novo Dia,2026-07-29,6.5808,"Ficção científica, Ação, Aventura",Filme,,
O Sobrevivente,2025-11-05,6.4771,"Ação, Thriller, Ficção científica",Filme,,
A Odisseia,2026-07-15,6.4412,"Aventura, Drama, Fantasia",Filme,,
C’est quoi l’amour?,2025-12-17,6.1751,"Comédia, Drama",Filme,,
Police Flash 80,2026-03-18,5.975,Comédia,Filme,,
Ramayana: Parte Um,2026-11-06,5.8554,"Ação, Drama, Fantasia",Filme,,
Mere Raho,2025-12-12,5.8206,"Fantasia, Romance",Filme,,
The Magic Faraway Tree,2025-12-19,5.5795,"Família, Fantasia, Aventura",Filme,,
Доктор Гаф,2026-03-19,5.4708,"Comédia, Família",Filme,,
劇場版 緊急取調室 THE FINAL,2025-12-26,5.4501,Crime,Filme,,
Война и мир,2027-02-18,5.4352,Drama,Filme,,
Perfectly Imperfect,2025-11-06,5.3791,"Comédia, Romance",Filme,,
Shrek 5,2027-06-30,5.369,"Animação, Família, Comédia, Fantasia",Filme,,
Rebuilding,2025-12-17,5.3029,Drama,Filme,,
Carry On Jatta 4,2026-06-26,5.2976,Comédia,Filme,,
Mastiii 4,2025-11-21,5.2416,"Comédia, Drama",Filme,,
Within,2026-04-16,5.2382,"Terror, Thriller",Filme,,
हक़,2025-11-07,5.2023,Drama,Filme,,
Exit Protocol,2025-11-14,5.1865,"Ação, Thriller",Filme,,
Ёлки 12,2025-12-18,5.1819,Comédia,Filme,,
Calle Málaga,2026-03-18,5.1714,Drama,Filme,,
A Árvore do Conhecimento,2025-11-19,5.0616,"Drama, Comédia",Filme,,
Spider-Man: Beyond the Spider-Verse,2027-06-18,5.0536,"Animação, Ação, Aventura, Ficção científica",Filme,,
O'Romeo,2026-02-13,5.0288,,Filme,,
日本統一７１,2025-11-05,5.0219,,Filme,,
வா வாத்தியார்,2025-12-25,5.0057,"Drama, Comédia",Filme,,
Sonic 4: O Filme,2027-03-19,4.9686,"Ação, Aventura, Comédia, Família, Ficção científica",Filme,,
Woodwalkers 2,2026-01-29,4.9484,"Fantasia, Família",Filme,,
金髪,2025-11-21,4.936,Drama,Filme,,
Nightmares,2026-10-01,4.9029,"Drama, Thriller",Filme,,
Untitled Teenage Mutant Ninja Turtles: Mutant Mayhem sequel,2027-09-17,4.8707,"Ação, Aventura, Animação, Comédia, Família",Filme,,
The Super Mario Galaxy Movie,2026-04-01,4.8251,"Família, Comédia, Aventura, Animação",Filme,,
Jumanji 3,2026-12-10,4.8114,Fantasia,Filme,,
Nuremberg,2025-11-06,4.7938,"História, Drama, Thriller",Filme,,
"Good Luck, Have Fun, Don't Die!",2026-01-30,4.7633,"Ação, Aventura, Ficção científica",Filme,,
自殺通告,2025-11-07,4.6216,"Drama, Mistério",Filme,,
Mutiny,2026-01-23,4.615,"Ação, Crime, Thriller",Filme,,
君の顔では泣けない,2025-11-14,4.4941,"Drama, Fantasia",Filme,,
Throbbin' 84,2025-11-17,4.4905,"Ação, Comédia",Filme,,
"Cara de Um, Focinho de Outro",2026-03-04,4.4302,"Família, Comédia, Animação, Ficção científica",Filme,,
Pohádky po babičce,2026-04-08,4.4272,"Animação, Drama, Família, Fantasia",Filme,,
Mortal Kombat 2,2026-05-14,4.3926,"Ação, Fantasia, Aventura",Filme,,
The Rip,2026-01-15,4.375,"Crime, Thriller",Filme,,
పెద్ది,2026-03-27,4.3339,"Drama, Ação",Filme,,
Pluribus,2025-11-06,4.3281,"Drama, Sci-Fi & Fantasy",Série,Nova Série,1
ఆల్కహాల్,2026-01-01,4.3132,"Drama, Thriller",Filme,,
Яга на нашу голову,2025-11-13,4.3071,"Fantasia, Família, Comédia",Filme,,
Just Breathe,2025-11-06,4.2489,Thriller,Filme,,
Le Pays d’Arto,2025-12-31,4.2204,Drama,Filme,,
舞台「呪術廻戦」-懐玉・玉折-,2026-02-18,4.1713,,Filme,,
The Chosen: Season 6 Finale,2027-03-12,4.1691,Drama,Filme,,
Toy Story 5,2026-06-17,4.1557,"Animação, Família, Comédia",Filme,,
Werwulf,2026-12-25,4.1508,"Terror, Fantasia",Filme,,
అనగనగా ఒక రాజు,2026-01-15,4.1358,"Romance, Comédia, Drama",Filme,,
Les Enfants de la Résistance,2026-02-11,4.1265,"História, Drama, Guerra, Aventura",Filme,,
Vingadores: Guerras Secretas,2027-12-17,4.0793,Ficção científica,Filme,,
The Angry Birds Movie 3,2026-12-23,4.0753,"Família, Comédia, Aventura, Animação",Filme,,
Moana,2026-07-08,4.0352,"Aventura, Comédia, Família, Fantasia",Filme,,
白の花実,2025-12-26,4.003,Drama,Filme,,
Огненный мальчик,2025-11-06,3.9991,Drama,Filme,,
狂野时代,2025-11-22,3.9822,"Drama, Ficção científica, Mistério",Filme,,
Lucky Lu,2026-01-07,3.9233,Drama,Filme,,
Trap House,2025-11-14,3.9069,Ação,Filme,,
नागज़िला: नाग लोक का पहला कांड,2026-08-14,3.9068,"Comédia, Fantasia, Aventura",Filme,,
ది రాజా సాబ్,2026-01-09,3.9042,"Terror, Comédia, Romance",Filme,,
نجوم الأمل و الألم,2026-02-18,3.8375,"Romance, Drama, Comédia",Filme,,
রান্না বাটি,2025-11-07,3.8204,"Família, Drama",Filme,,
Ready or Not: Here I Come,2026-04-08,3.805,"Terror, Comédia",Filme,,
লহ গৌরাঙ্গের নাম রে,2025-12-25,3.8006,"História, Drama",Filme,,
