hashtag,quantidade_posts
avatarfogoecinzas,0
wickedparte2,1
omandalorianoegrogu,0
avengersdoomsday,5
greenland2migration,5
truquedemestreo3ato,0
zootopia2,5
predadorterrasselvagens,0
thebride,5
28yearslaterthebonetemple,5
fivenightsatfreddys2,5
anaconda,5
vivooumortoummistrioknivesout,0
aempregada,4
homemaranhaumnovodia,0
osobrevivente,3
aodisseia,4
cestquoilamour,0
policeflash80,0
ramayanaparteum,0
mereraho,1
themagicfarawaytree,5
,5
thefinal,5
,5
perfectlyimperfect,5
shrek5,5
rebuilding,5
carryonjatta4,0
mastiii4,1
